,顏色,單價,成本,系列,產品,訂單時間,性別,年紀,廣告代號all,尺寸,訂單編號,去識別化會員編碼
808,trigrayblack,1137.0,480.0,系列21,產品21-11,2017-07-30T06:31:12,FEMALE,30.0,廣告_自然流量,S,338985,L_CBY_01004
809,white,821.0,377.0,系列11,產品11-3,2017-07-30T06:31:12,FEMALE,30.0,廣告_自然流量,S,338985,L_CBY_01004
810,babypink,893.0,419.0,系列22,產品22-12,2016-12-05T15:29:26,FEMALE,26.0,廣告_KDPOD_select,M,253641,L_CBY_02725
811,trigrayblack,985.0,470.0,系列6,產品6-11,2016-12-05T15:29:26,FEMALE,26.0,廣告_KDPOD_select,S,253641,L_CBY_02725
812,white,656.0,383.0,系列7,產品7-29,2018-10-19T10:55:23,,,廣告_KDP_C,L,485877,L_CBY_02136
813,white,656.0,383.0,系列101,產品101-29,2018-10-19T10:55:23,,,廣告_KDP_C,L,485877,L_CBY_02136
814,white,656.0,383.0,系列113,產品113-29,2018-10-19T10:55:23,,,廣告_KDP_C,L,485877,L_CBY_02136
815,white,656.0,383.0,系列343,產品343-29,2018-10-19T10:55:23,,,廣告_KDP_C,L,485877,L_CBY_02136
816,white,821.0,424.0,系列9,產品9-30,2017-08-07T11:12:46,FEMALE,32.0,廣告_KDP_D,F,342348,L_CBY_03398
817,babypink,924.0,475.0,系列66,產品66-30,2017-08-07T11:12:46,FEMALE,32.0,廣告_KDP_D,F,342348,L_CBY_03398
818,navyblue,1105.0,459.0,系列112,產品112-3,2017-09-21T09:29:58,FEMALE,32.0,廣告_KDP_P,XL,360051,L_CBY_03398
819,white,883.0,393.0,系列112,產品112-3,2017-09-21T09:29:58,FEMALE,32.0,廣告_KDP_P,XL,360051,L_CBY_03398
820,,656.0,345.0,系列8,產品8-35,2019-02-15T05:03:11,FEMALE,26.0,廣告_KDMK_D,無,533235,L_CBY_01629
821,white,883.0,375.0,系列28,產品28-18,2017-07-30T03:41:05,FEMALE,26.0,廣告_ikip_iqcdirqkip,L,338877,L_CBY_02751
822,white,883.0,375.0,系列28,產品28-18,2017-07-30T03:41:05,FEMALE,26.0,廣告_ikip_iqcdirqkip,L,338877,L_CBY_02751
823,black,1045.0,816.0,系列36,產品36-6,2016-01-22T07:50:14,,34.0,廣告_ikip_pid,S,165984,L_CBY_02787
824,black,1045.0,816.0,系列50,產品50-9,2016-01-22T07:50:14,,34.0,廣告_ikip_pid,L,165984,L_CBY_02787
825,navyblue,686.0,419.0,系列4,產品4-3,2016-08-01T12:35:28,FEMALE,50.0,廣告_自然流量,XL,220755,L_CBY_03041
826,babypink,870.0,419.0,系列4,產品4-3,2016-08-01T12:35:28,FEMALE,50.0,廣告_自然流量,S,220755,L_CBY_03041
827,white,832.0,367.0,系列4,產品4-18,2016-08-01T12:35:28,FEMALE,50.0,廣告_自然流量,S,220755,L_CBY_03041
828,,428.0,217.0,系列152,產品152-38,2016-12-16T04:18:42,,34.0,廣告_自然流量,無,256440,L_CBY_04392
829,,428.0,217.0,系列152,產品152-38,2016-12-16T04:18:42,,34.0,廣告_自然流量,無,256440,L_CBY_04392
830,,428.0,217.0,系列278,產品278-38,2016-12-16T04:18:42,,34.0,廣告_自然流量,無,256440,L_CBY_04392
831,,428.0,217.0,系列278,產品278-38,2016-12-16T04:18:42,,34.0,廣告_自然流量,無,256440,L_CBY_04392
832,gray,966.0,416.0,系列47,產品47-18,2016-03-25T16:30:01,FEMALE,32.0,廣告_qdwit_pid,S,181461,L_CBY_02896
833,,742.0,337.0,系列47,產品47-4,2016-03-25T16:30:01,FEMALE,32.0,廣告_qdwit_pid,無,181461,L_CBY_02896
834,white,568.0,367.0,系列7,產品7-18,2016-09-15T14:53:48,FEMALE,30.0,廣告_KDPOD_qrtist,L,233838,L_CBY_02375
835,white,568.0,367.0,系列65,產品65-18,2016-09-15T14:53:48,FEMALE,30.0,廣告_KDPOD_qrtist,L,233838,L_CBY_02375
836,white,568.0,367.0,系列222,產品222-18,2016-09-15T14:53:48,FEMALE,30.0,廣告_KDPOD_qrtist,M,233838,L_CBY_02375
837,white,780.0,375.0,系列9,產品9-29,2017-10-20T16:00:15,FEMALE,28.0,廣告_critei_critei,M,374616,L_CBY_04445
838,babypink,975.0,426.0,系列11,產品11-12,2017-10-20T16:00:15,FEMALE,28.0,廣告_critei_critei,M,374616,L_CBY_04445
839,lemonyellow,821.0,418.0,系列7,產品7-29,2017-07-04T12:45:19,FEMALE,30.0,廣告_B2KP_D,S,327906,L_CBY_01233
840,navyblue,821.0,418.0,系列1,產品1-29,2017-07-04T12:45:19,FEMALE,30.0,廣告_B2KP_D,S,327906,L_CBY_01233
841,creamywhiteburgundy,985.0,498.0,系列5,產品5-11,2016-12-08T04:36:50,FEMALE,24.0,廣告_B2KPOD_select,S,254385,L_CBY_04822
842,creamywhite,1135.0,686.0,系列28,產品28-7,2016-12-08T04:36:50,FEMALE,24.0,廣告_B2KPOD_select,M,254385,L_CBY_04822
843,navyblue,901.0,475.0,系列28,產品28-30,2018-09-20T15:32:20,,,廣告_自然流量,M,475869,L_CBY_02894
844,gray,985.0,433.0,系列198,產品198-12,2018-09-20T15:32:20,,,廣告_自然流量,M,475869,L_CBY_02894
845,irontrigray,865.0,419.0,系列80,產品80-3,2016-06-05T14:05:17,FEMALE,32.0,廣告_B2K_jqejqe,XXL,202362,L_CBY_02058
846,watermelonred,865.0,419.0,系列80,產品80-3,2016-06-05T14:05:17,FEMALE,32.0,廣告_B2K_jqejqe,XL,202362,L_CBY_02058
847,,1461.0,1234.0,系列8,產品8-35,2019-01-25T14:51:06,FEMALE,32.0,廣告_自然流量,無,527061,L_CBY_02058
848,,1461.0,1234.0,系列8,產品8-35,2019-01-30T08:01:32,FEMALE,32.0,廣告_自然流量,無,528255,L_CBY_02058
849,black,985.0,424.0,系列215,產品215-29,2019-05-19T16:11:17,FEMALE,30.0,廣告_自然流量,L,562317,L_CBY_03200
850,white,821.0,383.0,系列97,產品97-29,2019-05-19T16:11:17,FEMALE,30.0,廣告_自然流量,L,562317,L_CBY_03200
851,whitetrigray,865.0,441.0,系列17,產品17-11,2016-08-17T14:34:42,FEMALE,28.0,廣告_KDPOD_qrtist,M,225882,L_CBY_01050
852,trigrayblack,936.0,470.0,系列1,產品1-11,2016-08-17T14:34:42,FEMALE,28.0,廣告_KDPOD_qrtist,M,225882,L_CBY_01050
853,creamywhitejeanblue,936.0,489.0,系列33,產品33-11,2016-08-17T14:34:42,FEMALE,28.0,廣告_KDPOD_qrtist,M,225882,L_CBY_01050
854,watermelonred,793.0,418.0,系列33,產品33-18,2016-08-17T14:34:42,FEMALE,28.0,廣告_KDPOD_qrtist,L,225882,L_CBY_01050
855,jeanblue,530.0,308.0,系列20,產品20-15,2019-09-30T17:35:42,MALE,38.0,廣告_B2KDG_P,90,607935,L_CBY_03746
856,hamred,530.0,308.0,系列20,產品20-15,2019-09-30T17:35:42,MALE,38.0,廣告_B2KDG_P,80,607935,L_CBY_03746
857,black,893.0,419.0,系列255,產品255-3,2016-09-21T14:44:14,FEMALE,32.0,廣告_critei_critei,S,235872,L_CBY_02335
858,black,893.0,419.0,系列255,產品255-12,2016-09-21T14:44:14,FEMALE,32.0,廣告_critei_critei,M,235872,L_CBY_02335
859,,469.0,199.0,系列255,產品255-2,2016-09-21T14:44:14,FEMALE,32.0,廣告_critei_critei,無,235872,L_CBY_02335
860,creamywhite,887.0,676.0,系列19,產品19-7,2016-02-20T05:10:05,,,廣告_自然流量,L,173586,L_CBY_03488
861,tiffanygreen,602.0,543.0,系列19,產品19-10,2016-02-20T05:10:05,,,廣告_自然流量,90,173586,L_CBY_03488
862,creamywhite,887.0,676.0,系列19,產品19-7,2016-02-20T05:10:05,,,廣告_自然流量,S,173586,L_CBY_03488
863,babypink,1028.0,419.0,系列63,產品63-3,2017-04-17T04:43:33,,,廣告_自然流量,M,293520,L_CBY_03488
864,babyblue,1028.0,419.0,系列63,產品63-12,2017-04-17T04:43:33,,,廣告_自然流量,L,293520,L_CBY_03488
865,tiffanygreen,492.0,291.0,系列84,產品84-15,2017-04-17T04:43:33,,,廣告_自然流量,80,293520,L_CBY_03488
866,white,492.0,245.0,系列84,產品84-15,2017-04-17T04:43:33,,,廣告_自然流量,90,293520,L_CBY_03488
867,whitetrigray,910.0,441.0,系列4,產品4-14,2016-03-23T13:52:12,FEMALE,28.0,廣告_ikip_licelywird,M,181077,L_CBY_02748
868,watermelonred,979.0,416.0,系列4,產品4-12,2016-03-23T13:52:12,FEMALE,28.0,廣告_ikip_licelywird,M,181077,L_CBY_02748
869,trigrayblack,1040.0,470.0,系列17,產品17-14,2016-03-23T13:52:12,FEMALE,28.0,廣告_ikip_licelywird,L,181077,L_CBY_02748
870,gray,865.0,419.0,系列4,產品4-12,2016-06-23T13:23:09,FEMALE,28.0,廣告_B2KPOD_qrtist,M,208590,L_CBY_02748
871,white,822.0,370.0,系列116,產品116-12,2016-06-23T13:23:09,FEMALE,28.0,廣告_B2KPOD_qrtist,L,208590,L_CBY_02748
872,gray,865.0,419.0,系列116,產品116-3,2016-06-23T13:23:09,FEMALE,28.0,廣告_B2KPOD_qrtist,S,208590,L_CBY_02748
873,,1152.0,635.0,系列7,產品7-5,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,無,215841,L_CBY_02748
874,gray,860.0,419.0,系列31,產品31-12,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,M,215841,L_CBY_02748
875,irontrigray,860.0,419.0,系列66,產品66-12,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,M,215841,L_CBY_02748
876,white,821.0,370.0,系列175,產品175-12,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,L,215841,L_CBY_02748
877,tiffanygreen,860.0,419.0,系列175,產品175-12,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,L,215841,L_CBY_02748
878,black,860.0,419.0,系列175,產品175-12,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,L,215841,L_CBY_02748
879,babypink,860.0,419.0,系列175,產品175-3,2016-07-20T11:16:37,FEMALE,28.0,廣告_自然流量,M,215841,L_CBY_02748
880,babyblue,860.0,419.0,系列7,產品7-12,2016-07-20T11:20:49,FEMALE,28.0,廣告_自然流量,L,215853,L_CBY_02748
881,navyblue,860.0,419.0,系列7,產品7-3,2016-07-20T11:20:49,FEMALE,28.0,廣告_自然流量,M,215853,L_CBY_02748
882,white,821.0,370.0,系列7,產品7-12,2016-07-20T11:20:49,FEMALE,28.0,廣告_自然流量,L,215853,L_CBY_02748
883,whitetrigray,900.0,441.0,系列7,產品7-11,2016-08-07T13:27:55,FEMALE,28.0,廣告_自然流量,S,222630,L_CBY_02748
884,navyblue,905.0,419.0,系列7,產品7-3,2016-08-07T13:27:55,FEMALE,28.0,廣告_自然流量,S,222630,L_CBY_02748
885,tiffanygreen,985.0,433.0,系列42,產品42-12,2018-10-11T14:24:12,FEMALE,28.0,廣告_自然流量,M,483585,L_CBY_02748
886,tiffanygreen,410.0,308.0,系列42,產品42-15,2018-10-11T14:24:12,FEMALE,28.0,廣告_自然流量,80,483585,L_CBY_02748
887,white,985.0,401.0,系列1,產品1-12,2019-10-25T09:27:53,FEMALE,28.0,廣告_自然流量,2XL,631605,L_CBY_02748
888,irontrigray,985.0,451.0,系列1,產品1-12,2019-10-25T09:27:53,FEMALE,28.0,廣告_自然流量,XL,631605,L_CBY_02748
889,black,985.0,451.0,系列14,產品14-12,2019-10-25T09:27:53,FEMALE,28.0,廣告_自然流量,XL,631605,L_CBY_02748
890,,586.0,313.0,系列17,產品17-16,2016-05-14T15:07:01,FEMALE,38.0,廣告_ikip_POD,無,194199,L_CBY_04495
891,gray,898.0,418.0,系列17,產品17-18,2016-05-14T15:07:01,FEMALE,38.0,廣告_ikip_POD,S,194199,L_CBY_04495
892,navyblue,898.0,418.0,系列210,產品210-18,2016-05-14T15:07:01,FEMALE,38.0,廣告_ikip_POD,S,194199,L_CBY_04495
893,,586.0,313.0,系列37,產品37-16,2016-05-14T15:07:01,FEMALE,38.0,廣告_ikip_POD,無,194199,L_CBY_04495
894,white,768.0,367.0,系列276,產品276-18,2016-05-14T15:07:01,FEMALE,38.0,廣告_ikip_POD,S,194199,L_CBY_04495
895,babypink,923.0,475.0,系列15,產品15-30,2017-09-05T11:35:11,FEMALE,40.0,廣告_KDP_D,F,354483,L_CBY_02611
896,navyblue,893.0,419.0,系列56,產品56-12,2016-10-11T08:11:27,FEMALE,28.0,廣告_critei_critei,M,241626,L_CBY_01661
897,white,656.0,370.0,系列59,產品59-12,2016-10-11T08:11:27,FEMALE,28.0,廣告_critei_critei,M,241626,L_CBY_01661
898,white,656.0,370.0,系列59,產品59-12,2016-10-11T08:11:27,FEMALE,28.0,廣告_critei_critei,M,241626,L_CBY_01661
899,,985.0,635.0,系列51,產品51-5,2016-12-29T13:17:15,,,廣告_自然流量,無,260532,L_CBY_01114
900,,1448.0,905.0,系列2,產品2-35,2018-03-29T01:04:43,,,廣告_GINEP_P,無,417576,L_CBY_01114
901,tiffanygreen,821.0,419.0,系列19,產品19-12,2016-06-12T13:50:56,FEMALE,36.0,廣告_KDPOD_select,XL,204846,L_CBY_03103
902,watermelonred,821.0,419.0,系列19,產品19-3,2016-06-12T13:50:56,FEMALE,36.0,廣告_KDPOD_select,XL,204846,L_CBY_03103
903,tiffanygreen,492.0,291.0,系列19,產品19-15,2016-06-12T13:50:56,FEMALE,36.0,廣告_KDPOD_select,130,204846,L_CBY_03103
904,watermelonred,492.0,291.0,系列19,產品19-15,2016-06-12T13:50:56,FEMALE,36.0,廣告_KDPOD_select,110,204846,L_CBY_03103
905,white,780.0,367.0,系列28,產品28-3,2016-04-02T08:29:46,FEMALE,32.0,廣告_qdwit_pid,S,182829,L_CBY_04650
906,white,492.0,245.0,系列28,產品28-15,2016-04-02T08:29:46,FEMALE,32.0,廣告_qdwit_pid,130,182829,L_CBY_04650
907,,1405.0,729.0,系列28,產品28-39,2016-04-02T08:29:46,FEMALE,32.0,廣告_qdwit_pid,iPhone 6+,182829,L_CBY_04650
908,,819.0,415.0,系列28,產品28-37,2016-04-02T08:29:46,FEMALE,32.0,廣告_qdwit_pid,35cm,182829,L_CBY_04650
909,creamywhite,1300.0,686.0,系列28,產品28-7,2016-12-14T16:56:11,FEMALE,32.0,廣告_B2KPOD_select,S,256164,L_CBY_04650
910,eggyellow,971.0,548.0,系列415,產品415-10,2016-12-14T16:56:11,FEMALE,32.0,廣告_B2KPOD_select,130,256164,L_CBY_04650
911,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
912,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
913,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
914,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
915,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
916,,245.0,163.0,系列8,產品8-35,2016-12-22T22:22:25,FEMALE,32.0,廣告_自然流量,無,257682,L_CBY_04650
917,gray,985.0,426.0,系列5,產品5-12,2018-06-30T07:05:25,FEMALE,38.0,廣告_自然流量,L,446994,L_CBY_03636
918,red,985.0,431.0,系列5,產品5-29,2018-06-30T07:05:25,FEMALE,38.0,廣告_自然流量,L,446994,L_CBY_03636
919,white,411.0,245.0,系列5,產品5-15,2016-09-23T02:41:15,,,廣告_critei_critei,110,236100,L_CBY_03386
920,white,411.0,245.0,系列5,產品5-15,2016-09-23T02:41:15,,,廣告_critei_critei,130,236100,L_CBY_03386
921,white,411.0,245.0,系列5,產品5-15,2016-09-23T02:49:10,,,廣告_critei_critei,110,236106,L_CBY_03386
922,white,411.0,245.0,系列5,產品5-15,2016-09-23T02:49:10,,,廣告_critei_critei,130,236106,L_CBY_03386
923,white,568.0,367.0,系列5,產品5-18,2016-09-23T04:15:11,,,廣告_critei_critei,S,236124,L_CBY_03386
924,white,568.0,367.0,系列5,產品5-18,2016-09-23T04:15:11,,,廣告_critei_critei,M,236124,L_CBY_03386
925,white,568.0,367.0,系列5,產品5-18,2016-09-23T04:15:11,,,廣告_critei_critei,L,236124,L_CBY_03386
926,white,740.0,370.0,系列5,產品5-3,2016-09-23T04:15:11,,,廣告_critei_critei,XXL,236124,L_CBY_03386
927,,1629.0,773.0,系列3,產品3-94,2018-11-15T06:14:36,FEMALE,28.0,廣告_B2KMP_P,M,496572,L_CBY_01336
928,navyblue,985.0,433.0,系列40,產品40-12,2019-04-21T03:25:19,FEMALE,28.0,廣告_B2KDG_P,L,553158,L_CBY_01336
929,gray,985.0,433.0,系列40,產品40-3,2019-04-21T03:25:19,FEMALE,28.0,廣告_B2KDG_P,M,553158,L_CBY_01336
930,white,760.0,370.0,系列86,產品86-3,2016-09-17T15:15:46,MALE,30.0,廣告_ikip_pid,M,234810,L_CBY_02008
931,gray,916.0,419.0,系列86,產品86-12,2016-09-17T15:15:46,MALE,30.0,廣告_ikip_pid,M,234810,L_CBY_02008
932,creamywhite,878.0,785.0,系列135,產品135-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,M,177948,L_CBY_02576
933,creamywhite,878.0,785.0,系列194,產品194-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,XS,177948,L_CBY_02576
934,black,908.0,816.0,系列194,產品194-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,XS,177948,L_CBY_02576
935,black,908.0,816.0,系列194,產品194-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,L,177948,L_CBY_02576
936,black,908.0,816.0,系列194,產品194-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,S,177948,L_CBY_02576
937,black,908.0,816.0,系列194,產品194-6,2016-03-11T07:59:29,FEMALE,24.0,廣告_自然流量,M,177948,L_CBY_02576
938,black,898.0,416.0,系列5,產品5-18,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,M,183237,L_CBY_00689
939,white,492.0,245.0,系列23,產品23-15,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,90,183237,L_CBY_00689
940,white,780.0,367.0,系列37,產品37-3,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,M,183237,L_CBY_00689
941,white,492.0,245.0,系列37,產品37-15,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,90,183237,L_CBY_00689
942,white,780.0,367.0,系列9,產品9-3,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,L,183237,L_CBY_00689
943,white,492.0,245.0,系列67,產品67-15,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,90,183237,L_CBY_00689
944,white,768.0,367.0,系列222,產品222-18,2016-04-04T01:01:57,FEMALE,36.0,廣告_自然流量,M,183237,L_CBY_00689
945,white,492.0,250.0,系列5,產品5-15,2017-09-28T05:50:08,FEMALE,36.0,廣告_KDP_D,90,365832,L_CBY_00689
946,white,821.0,393.0,系列5,產品5-3,2017-09-28T05:50:08,FEMALE,36.0,廣告_KDP_D,XL,365832,L_CBY_00689
947,white,492.0,250.0,系列19,產品19-15,2017-09-28T05:50:08,FEMALE,36.0,廣告_KDP_D,90,365832,L_CBY_00689
948,tiffanygreen,656.0,316.0,系列481,產品481-21,2017-09-28T05:50:08,FEMALE,36.0,廣告_KDP_D,90,365832,L_CBY_00689
949,babypink,1028.0,443.0,系列2,產品2-3,2017-09-28T05:50:08,FEMALE,36.0,廣告_KDP_D,XL,365832,L_CBY_00689
950,white,905.0,373.0,系列10,產品10-12,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,L,442662,L_CBY_00689
951,white,410.0,250.0,系列10,產品10-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,80,442662,L_CBY_00689
952,white,410.0,250.0,系列10,產品10-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,80,442662,L_CBY_00689
953,white,410.0,250.0,系列10,產品10-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,80,442662,L_CBY_00689
954,white,410.0,250.0,系列10,產品10-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,110,442662,L_CBY_00689
955,white,410.0,250.0,系列10,產品10-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,110,442662,L_CBY_00689
956,white,821.0,403.0,系列10,產品10-18,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,M,442662,L_CBY_00689
957,lemonyellow,410.0,298.0,系列23,產品23-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,80,442662,L_CBY_00689
958,lemonyellow,410.0,298.0,系列23,產品23-15,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,110,442662,L_CBY_00689
959,white,821.0,403.0,系列2,產品2-18,2018-06-15T04:58:25,FEMALE,36.0,廣告_KDP_D,M,442662,L_CBY_00689
960,white,985.0,401.0,系列10,產品10-12,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,2XL,474684,L_CBY_00689
961,black,985.0,433.0,系列10,產品10-12,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
962,gray,901.0,484.0,系列10,產品10-30,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,M,474684,L_CBY_00689
963,white,985.0,383.0,系列10,產品10-12,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
964,white,985.0,383.0,系列10,產品10-12,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
965,white,410.0,262.0,系列160,產品160-15,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,90,474684,L_CBY_00689
966,white,410.0,262.0,系列41,產品41-15,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,130,474684,L_CBY_00689
967,,971.0,337.0,系列2,產品2-101,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,M,474684,L_CBY_00689
968,,971.0,470.0,系列2,產品2-106,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,M,474684,L_CBY_00689
969,white,985.0,383.0,系列2,產品2-3,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
970,babypink,985.0,433.0,系列2,產品2-18,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
971,white,985.0,383.0,系列2,產品2-3,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
972,white,985.0,383.0,系列2,產品2-3,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,L,474684,L_CBY_00689
973,,1464.0,1025.0,系列2,產品2-35,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,無,474684,L_CBY_00689
974,,642.0,449.0,系列2,產品2-35,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,無,474684,L_CBY_00689
975,,576.0,403.0,系列2,產品2-35,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,無,474684,L_CBY_00689
976,,576.0,403.0,系列2,產品2-35,2018-09-17T08:27:55,FEMALE,36.0,廣告_KDMK_P,無,474684,L_CBY_00689
977,irontrigray,893.0,419.0,系列7,產品7-3,2016-09-28T16:01:01,FEMALE,34.0,廣告_自然流量,S,238113,L_CBY_04906
978,gray,893.0,419.0,系列7,產品7-12,2016-09-28T16:01:01,FEMALE,34.0,廣告_自然流量,M,238113,L_CBY_04906
979,black,882.0,434.0,系列86,產品86-17,2016-09-28T16:01:01,FEMALE,34.0,廣告_自然流量,F,238113,L_CBY_04906
980,red,1398.0,814.0,系列7,產品7-24,2017-01-14T10:33:48,FEMALE,34.0,廣告_KDPOD_select,S,264195,L_CBY_03514
981,red,1398.0,814.0,系列7,產品7-25,2017-01-14T10:33:48,FEMALE,34.0,廣告_KDPOD_select,M,264195,L_CBY_03514
982,,58.0,51.0,系列8,產品8-83,2017-01-14T10:44:31,FEMALE,34.0,廣告_KDPOD_select,無,264201,L_CBY_03514
983,gray,1300.0,719.0,系列22,產品22-7,2017-01-14T10:44:31,FEMALE,34.0,廣告_KDPOD_select,M,264201,L_CBY_03514
984,gray,1300.0,719.0,系列22,產品22-13,2017-01-14T10:44:31,FEMALE,34.0,廣告_KDPOD_select,L,264201,L_CBY_03514
985,gray,1135.0,719.0,系列37,產品37-7,2017-01-30T23:43:59,FEMALE,34.0,廣告_自然流量,S,267519,L_CBY_03514
986,gray,1300.0,719.0,系列37,產品37-13,2017-01-30T23:43:59,FEMALE,34.0,廣告_自然流量,M,267519,L_CBY_03514
987,,1096.0,600.0,系列8,產品8-35,2018-01-31T05:39:25,FEMALE,34.0,廣告_GINEP_D,無,400599,L_CBY_03514
988,,1096.0,600.0,系列8,產品8-35,2018-01-31T05:39:25,FEMALE,34.0,廣告_GINEP_D,無,400599,L_CBY_03514
989,,1234.0,1152.0,系列25,產品25-36,2018-07-24T13:42:27,FEMALE,34.0,廣告_GINEP_P,無,456558,L_CBY_03514
990,,148.0,49.0,系列52,產品52-35,2018-07-24T13:42:27,FEMALE,34.0,廣告_GINEP_P,無,456558,L_CBY_03514
991,gray,1045.0,816.0,系列36,產品36-6,2016-01-21T06:13:30,FEMALE,32.0,廣告_ikip_pid,M,165222,L_CBY_03495
992,tiffanygreen,780.0,416.0,系列36,產品36-18,2016-01-21T06:13:30,FEMALE,32.0,廣告_ikip_pid,L,165222,L_CBY_03495
993,whitetrigray,832.0,441.0,系列70,產品70-11,2016-01-21T06:13:30,FEMALE,32.0,廣告_ikip_pid,M,165222,L_CBY_03495
994,trigrayblack,885.0,470.0,系列97,產品97-11,2016-01-21T06:13:30,FEMALE,32.0,廣告_ikip_pid,M,165222,L_CBY_03495
995,,469.0,199.0,系列4,產品4-2,2016-09-18T18:49:08,FEMALE,32.0,廣告_critei_critei,無,235320,L_CBY_03495
996,jeanblue,684.0,418.0,系列44,產品44-18,2016-09-18T18:49:08,FEMALE,32.0,廣告_critei_critei,L,235320,L_CBY_03495
997,babyblue,684.0,418.0,系列222,產品222-18,2016-09-18T18:49:08,FEMALE,32.0,廣告_critei_critei,L,235320,L_CBY_03495
998,white,568.0,367.0,系列66,產品66-18,2016-09-18T18:49:08,FEMALE,32.0,廣告_critei_critei,L,235320,L_CBY_03495
999,babypink,684.0,418.0,系列66,產品66-18,2016-09-18T18:49:08,FEMALE,32.0,廣告_critei_critei,L,235320,L_CBY_03495
